targetMuscle,title,src,path_url
full-body,One Arm Kettlebell Swing,https://fitnessprogramer.com/wp-content/uploads/2022/07/One-Arm-Kettlebell-Swing.gif,/content/drive/MyDrive/fitness/data/One-Arm-Kettlebell-Swing.gif
full-body,Medicine ball Overhead Slam,https://fitnessprogramer.com/wp-content/uploads/2022/06/Medicine-ball-Overhead-Slam-exercise.gif,/content/drive/MyDrive/fitness/data/Medicine-ball-Overhead-Slam.gif
full-body,Wall Ball,https://fitnessprogramer.com/wp-content/uploads/2023/01/wall-ball.gif,/content/drive/MyDrive/fitness/data/Wall-Ball.gif
full-body,Kettlebell Renegade Row,https://fitnessprogramer.com/wp-content/uploads/2022/07/Kettlebell-Renegade-Row.gif,/content/drive/MyDrive/fitness/data/Kettlebell-Renegade-Row.gif
full-body,Push-Up to Renegade Row,https://fitnessprogramer.com/wp-content/uploads/2022/07/Push-Up-to-Renegade-Row.gif,/content/drive/MyDrive/fitness/data/Push-Up-to-Renegade-Row.gif
full-body,Modified Hindu Push-up,https://fitnessprogramer.com/wp-content/uploads/2022/07/Modified-Hindu-Push-up.gif,/content/drive/MyDrive/fitness/data/Modified-Hindu-Push-up.gif
full-body,Planche Push-Up,https://fitnessprogramer.com/wp-content/uploads/2022/07/Planche-Push-Up.gif,/content/drive/MyDrive/fitness/data/Planche-Push-Up.gif
full-body,Archer Push-Up,https://fitnessprogramer.com/wp-content/uploads/2022/07/Archer-Push-Up.gif,/content/drive/MyDrive/fitness/data/Archer-Push-Up.gif
full-body,Kettlebell Figure 8,https://fitnessprogramer.com/wp-content/uploads/2022/09/Kettlebell-Figure-8.gif,/content/drive/MyDrive/fitness/data/Kettlebell-Figure-8.gif
full-body,Dumbbell Renegade Row,https://fitnessprogramer.com/wp-content/uploads/2021/01/dumbbell-renegade-row-1.gif,/content/drive/MyDrive/fitness/data/Dumbbell-Renegade-Row.gif
full-body,Dumbbell Iron Cross,https://fitnessprogramer.com/wp-content/uploads/2022/07/Dumbbell-Iron-Cross.gif,/content/drive/MyDrive/fitness/data/Dumbbell-Iron-Cross.gif
full-body,Ring Dips,https://fitnessprogramer.com/wp-content/uploads/2022/07/Ring-Dips.gif,/content/drive/MyDrive/fitness/data/Ring-Dips.gif
full-body,Battle Rope,https://fitnessprogramer.com/wp-content/uploads/2015/07/Battle-Rope.gif,/content/drive/MyDrive/fitness/data/Battle-Rope.gif
neck,Weighted Lateral Neck Flexion,https://fitnessprogramer.com/wp-content/uploads/2022/02/Lying-Weighted-Lateral-Neck-Flexion.gif,/content/drive/MyDrive/fitness/data/Weighted-Lateral-Neck-Flexion.gif
neck,Weighted Lying Neck Extension,https://fitnessprogramer.com/wp-content/uploads/2021/08/Weighted-Lying-Neck-Extension.gif,/content/drive/MyDrive/fitness/data/Weighted-Lying-Neck-Extension.gif
neck,Weighted Lying Neck Flexion,https://fitnessprogramer.com/wp-content/uploads/2021/08/Weighted-Lying-Neck-Flexion.gif,/content/drive/MyDrive/fitness/data/Weighted-Lying-Neck-Flexion.gif
neck,Gittleson Shrug,https://fitnessprogramer.com/wp-content/uploads/2022/01/Dumbbell-Seated-Gittleson-Shrug.gif,/content/drive/MyDrive/fitness/data/Gittleson-Shrug.gif
neck,Diagonal Neck Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/07/Diagonal-Neck-Stretch-360x360.png,/content/drive/MyDrive/fitness/data/Diagonal-Neck-Stretch.gif
neck,Neck Rotation Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/07/Rotating-Neck-Stretch.gif,/content/drive/MyDrive/fitness/data/Neck-Rotation-Stretch.gif
neck,Neck Flexion Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/07/Neck-Flexion-Stretch-360x360.png,/content/drive/MyDrive/fitness/data/Neck-Flexion-Stretch.gif
neck,Neck Extension Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/07/Neck-Extension-Stretching-360x360.png,/content/drive/MyDrive/fitness/data/Neck-Extension-Stretch.gif
neck,Side Neck Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/06/Side-Neck-Stretch.gif,/content/drive/MyDrive/fitness/data/Side-Neck-Stretch.gif
neck,Side Push Neck Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/06/Side-Push-Neck-Stretch.gif,/content/drive/MyDrive/fitness/data/Side-Push-Neck-Stretch.gif
neck,Front and Back Neck Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/06/Front-and-Back-Neck-Stretch.gif,/content/drive/MyDrive/fitness/data/Front-and-Back-Neck-Stretch.gif
neck,Chin Tuck,https://fitnessprogramer.com/wp-content/uploads/2021/06/Chin-Tuck.gif,/content/drive/MyDrive/fitness/data/Chin-Tuck.gif
neck,Prone Cervical Extension,https://fitnessprogramer.com/wp-content/uploads/2022/02/Prone-Cervical-Extension.gif,/content/drive/MyDrive/fitness/data/Prone-Cervical-Extension.gif
