targetMuscle,title,path_url,exercise_id,exercise_name,targetMuscles_api,secondaryMuscles_api,bodyParts_api,equipments_api,gif_url,match_score,status,search_text
abs,Standing Twist Machine,data/Standing-Twist-Machine.gif,2jl9K55,spine twist,"[""abs""]","[""obliques"", ""lower back""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/2jl9K55.gif,70.0,matched,"spine twist [""abs""] [""obliques"", ""lower back""]"
abs,Seated Crunch Machine,data/Seated-Crunch-Machine.gif,8xUv4J7,cable seated crunch,"[""abs""]","[""obliques""]","[""waist""]","[""cable""]",https://static.exercisedb.dev/media/8xUv4J7.gif,85.0,matched,"cable seated crunch [""abs""] [""obliques""]"
abs,Barbell Rollout,data/Barbell-Rollout.gif,7M66AVi,barbell rollerout,"[""abs""]","[""lower back""]","[""waist""]","[""barbell""]",https://static.exercisedb.dev/media/7M66AVi.gif,95.0,matched,"barbell rollerout [""abs""] [""lower back""]"
abs,Landmine Twist,data/Landmine-Twist.gif,2jl9K55,spine twist,"[""abs""]","[""obliques"", ""lower back""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/2jl9K55.gif,77.6,matched,"spine twist [""abs""] [""obliques"", ""lower back""]"
abs,Frog Crunch,data/Frog-Crunch.gif,225x2Vd,band kneeling twisting crunch,"[""abs""]","[""obliques""]","[""waist""]","[""band""]",https://static.exercisedb.dev/media/225x2Vd.gif,76.47,matched,"band kneeling twisting crunch [""abs""] [""obliques""]"
abs,Ab Wheel Rollout,data/Ab-Wheel-Rollout.gif,7M66AVi,barbell rollerout,"[""abs""]","[""lower back""]","[""waist""]","[""barbell""]",https://static.exercisedb.dev/media/7M66AVi.gif,68.48,matched,"barbell rollerout [""abs""] [""lower back""]"
abs,Lying Upper Body Rotation,data/Lying-Upper-Body-Rotation.gif,9IxJdtC,lying leg-hip raise,"[""abs""]","[""hip flexors""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/9IxJdtC.gif,60.0,matched,"lying leg-hip raise [""abs""] [""hip flexors""]"
abs,Bicycle Twisting Crunch,data/Bicycle-Twisting-Crunch.gif,225x2Vd,band kneeling twisting crunch,"[""abs""]","[""obliques""]","[""waist""]","[""band""]",https://static.exercisedb.dev/media/225x2Vd.gif,83.16,matched,"band kneeling twisting crunch [""abs""] [""obliques""]"
abs,Fish Pose,data/Fish-Pose.gif,1ZFqTDN,air bike,"[""abs""]","[""hip flexors""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/1ZFqTDN.gif,48.24,matched,"air bike [""abs""] [""hip flexors""]"
abs,Hands In Air Dead Bug,data/Hands-In-Air-Dead-Bug.gif,1ZFqTDN,air bike,"[""abs""]","[""hip flexors""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/1ZFqTDN.gif,63.64,matched,"air bike [""abs""] [""hip flexors""]"
